bin_lower,bin_upper,n_rows,mean_predicted_probability,observed_positive_rate
0.0,0.1,14103,0.0339785884480228,0.03382259093809828
0.1,0.2,4577,0.1449320774156575,0.15162770373607165
0.2,0.30000000000000004,2654,0.24786620941267704,0.233232856066315
0.30000000000000004,0.4,1878,0.3465631374312869,0.3572949946751864
0.4,0.5,1257,0.44420161692074195,0.4447096260938743
0.5,0.6000000000000001,578,0.5448280293821761,0.5121107266435986
0.6000000000000001,0.7000000000000001,268,0.643291807143896,0.667910447761194
0.7000000000000001,0.8,52,0.7326307764805928,0.7692307692307693
0.8,0.9,1,0.8074801922353452,0.0
0.9,1.0,0,,
